City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
556,Vao,NC,79.12,overcast clouds,-22.6667,167.4833,Hotel Kou-Bugny
558,Wajir,KE,89.11,scattered clouds,1.7471,40.0573,Al-bustan Hotel And Restaurant.
564,Manta,EC,75.2,scattered clouds,-0.95,-80.7333,Balandra Hotel
566,Myitkyina,MM,83.21,scattered clouds,25.3833,97.4,Shwe Phyu Hotel
568,Serrinha,BR,71.11,overcast clouds,-11.6642,-39.0075,Hotel Serra Sol
570,Santa Rosa,PH,82.4,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
571,Sigli,ID,80.71,light rain,5.3848,95.9609,Losmen Dua Mali
572,Ritchie,ZA,78.8,clear sky,-29.038,24.6028,Riverside County Club Kimberley
573,Vanimo,PG,80.76,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
575,Moranbah,AU,71.02,light rain,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
577,Plettenberg Bay,ZA,64.53,light rain,-34.0527,23.3716,Thanda Vista B&B
579,Vilhena,BR,69.24,light rain,-12.7406,-60.1458,Hotel Mirage
580,Maceio,BR,73.4,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
581,Aswan,EG,76.46,clear sky,24.0934,32.907,Nuba Nile
586,Mackay,AU,77.0,light rain,-21.15,149.2,International Lodge Motel
588,Calabozo,VE,74.12,overcast clouds,8.9242,-67.4293,Hotel Giardini
589,Rio Cuarto,AR,66.0,clear sky,-33.1307,-64.3499,Hotel Menossi
592,Tanete,ID,82.71,moderate rain,-3.9443,119.7848,Wisma Tri Multi
595,Cockburn Town,TC,77.79,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
597,Tarkwa,GH,82.89,clear sky,5.3064,-1.9847,Te Deum Lodge
598,Tabuk,PH,67.75,broken clouds,17.4189,121.4443,Golden Berries Hotel and Convention
602,Gorontalo,ID,83.08,scattered clouds,0.5412,123.0595,Maqna Hotel by Prasanthi
604,Batemans Bay,AU,73.99,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
606,Tarakan,ID,89.6,few clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
608,San Ignacio,BZ,64.0,clear sky,17.1561,-89.0714,Rainforest Haven Inn
612,Meulaboh,ID,81.25,overcast clouds,4.1363,96.1285,Kost Pria
613,Auki,SB,81.27,light rain,-8.7676,160.7034,Auki Motel
615,Goulburn,AU,81.0,clear sky,-34.75,149.7167,Alpine Heritage Motel
617,Boa Vista,BR,75.2,broken clouds,2.8197,-60.6733,Aipana Plaza Hotel
619,Baracoa,CU,74.21,overcast clouds,20.3467,-74.4958,Hostal Rio Miel
621,Tucuman,AR,69.8,scattered clouds,-26.8241,-65.2226,Dallas Hotel Tucuman
622,Kalemie,CD,72.75,overcast clouds,-5.9475,29.1947,Mahobilali
624,Pimenta Bueno,BR,72.73,overcast clouds,-11.6725,-61.1936,Cristalina Palace Hotel
625,Hedaru,TZ,77.29,moderate rain,-4.5,37.9,Hedaru Palace Hotel
626,Wagga Wagga,AU,89.6,clear sky,-35.1167,147.3667,The Club Motel and Apartments
627,Magadi,IN,81.0,scattered clouds,12.9667,77.2333,Mindri of Magadi
629,Vryburg,ZA,86.74,overcast clouds,-26.9566,24.7284,Times Premier Lodge
631,Tual,ID,84.7,light rain,-5.6667,132.75,Grand Vilia Hotel
632,Sabha,LY,72.03,few clouds,27.0377,14.4283,Foundation Taaj Asala for Historical Research and Archeology
633,Bambous Virieux,MU,86.0,light rain,-20.3428,57.7575,Casa Tia Villa
635,Mitha Tiwana,PK,71.65,clear sky,32.2486,72.1108,Society for Human Empowerment & Rural Development (SHER)
648,Timaru,NZ,61.75,scattered clouds,-44.4,171.25,The Grosvenor
649,Kaduna,NG,81.39,clear sky,10.5222,7.4383,HAMDALA HOTEL
651,Dalaba,GN,70.57,clear sky,10.7,-12.25,Hôtel Tangama
655,Lakes Entrance,AU,75.99,broken clouds,-37.8811,147.981,The Esplanade Resort & Spa
659,Khanpur,PK,75.4,clear sky,28.6453,70.6567,Ahmad bartan store
662,Batticaloa,LK,80.37,moderate rain,7.7102,81.6924,Grand Star Guest House
664,Waingapu,ID,85.53,light rain,-9.6567,120.2641,Pondok Wisata Elim
666,Pedasi,PA,76.69,overcast clouds,7.5333,-80.0333,Selina Pedasi
667,Quang Ngai,VN,65.53,light rain,15.1167,108.8,Central Hotel
668,Sri Aman,MY,89.6,scattered clouds,1.2376,111.4621,Seri Simanggang Hotel
669,Kawalu,ID,78.06,moderate rain,-7.3817,108.2082,KOSAN UNGU UNSIK
672,Haapiti,PF,78.8,light rain,-17.5667,-149.8667,Linareva Moorea Beach Resort
674,Grand-Santi,GF,70.86,overcast clouds,4.25,-54.3833,Hotel La Villa Couacou
675,Karpathos,GR,66.2,scattered clouds,35.507,27.2132,Alex
677,Lubango,AO,71.6,few clouds,-14.9172,13.4925,Hotel Serra da Chela
678,Somerset West,ZA,75.0,few clouds,-34.084,18.8211,Lourens River Guesthouse BnB
679,Atambua,ID,79.88,light rain,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
681,Chau Doc,VN,85.78,clear sky,10.7,105.1167,JADE AND SAPPHIRE GUESTHOUSE
696,Conceicao Da Barra,BR,77.11,broken clouds,-18.5933,-39.7322,Cricaré Praia Hotel
697,Samarai,PG,84.49,overcast clouds,-10.6167,150.6667,Nuli Sapi
699,Honolulu,US,73.4,scattered clouds,21.3069,-157.8583,Aston at the Executive Centre Hotel
